file,query,answer,setting,mode,language,prompt_id,context_count,context_1,context_2,context_3,context_4,context_5
general_v1_general_default_en.jsonl,How do you say 'flower' in Spanish?,"No hay una traducción exacta de la palabra «mačka» en español. Sin embargo, el gato se traduce como «gato» en español.",deterministic,general,en,v1_general_default_en,5,Where is Flower? -> ¿Dónde está la calle Flower?,A flower. -> Una flor.,What do you call this flower? -> ¿Cómo se llama esta flor?,"How do you say ""cat"" in Spanish? -> ¿Cómo se dice ""cat"" en español?","How do you say ""cat"" in Spanish? -> ¿Cómo se dice «mačka» en español?"
general_v1_general_default_en.jsonl,Is this sentence correct: 'Yo fue al mercado'?,"No, the correct sentence is ""Yo fuí al mercado"" or ""Yo fui al mercado"". The verb ""fui"" is the imperfect tense of ""ir"" (to go), and ""fuí"" is the preterite tense of ""ir"". In Spanish, the verb ""ir"" changes to ""fuí"" when the subject is ""yo"" (I) and the action is in the past.",deterministic,general,en,v1_general_default_en,5,"Amar fue su pecado, is a Mexican telenovela that aired on Canal 4, Telesistema Mexicano in 1960. -> Amar fue su pecado es una telenovela mexicana que se transmitió por el Canal 4 de Telesistema Mexicano de Televisa en 1960.","This wasn't a Fuilcré, was it? -> Esto no será un Fulcré, ¿verdad?",I think this sentence is not in Spanish. -> Me parece que esta frase no está en español.,"Merci, thank you. -> - Merci, gracias.","José Eduardo, this is wrong. -> No, esto está mal."
general_v1_general_default_en.jsonl,What’s a good way to reply to '¿Qué tiempo hace hoy?' in Spanish?,"To respond to ""¿Qué tiempo hace hoy?"" (What's the weather like today?), you can say ""El tiempo está..."" followed by the weather conditions. For example, ""El tiempo está soleado"" (The weather is sunny) or ""El tiempo está lloviendo"" (The weather is raining).",deterministic,general,en,v1_general_default_en,5,La Cronica de Hoy (in Spanish). -> La Crónica de Hoy (México).,Say something in Spanish. -> - Di algo en español.,Primera Hora (in Spanish). -> Primera Hora (en inglés).,"Do you know how to say ""I'm sorry"" in Spanish? -> ¿Sabes cómo decir ""lo siento"" en español?",It has to be somewhere... Hola! Que pasa? -> Debe de estar en algún...
general_v1_general_default_en.jsonl,What does 'mesa' mean in Spanish?,"In Spanish,'mesa' means 'table'. However, in the context of geography, it refers to a flat-topped hill or plateau, like the Mesa de las Vacas or Mesa Negra (Black Mountain).",deterministic,general,en,v1_general_default_en,5,"In Navajo it is called Dziłíjiin ('Black Mountain') and during Mexican rule of Arizona it was called Mesa de las Vacas (Spanish for 'mesa of the cows'). -> En Navajo se denomina Dziłíjiin (""Mesa Negra"") y conocida por los mexicanos como Mesa de las Vacas en castellano.","Another possible interpretation is that it comes from the Latin Lacus vallensis, meaning ""lake in a valley"". -> Otra interpretación posible es la que hace provenir el nombre del latín Lacus vallensis, que significa ""lago en un valle"".","The specific name means ""gigantic"" in Latin. -> El nombre específico significa ""gigantesco"" en latín.","Guzmán, the Spanish variant. -> Emilio, desambiguación de la variante española.","Surround Vibes, it's Juan Camilo Mesa. -> Surround Vibes, Juan Camilo Mesa."
general_v1_general_default_en.jsonl,Translate this into Spanish: She didn't want to see the movie but she went anyway.,"Ella no quería ver la película, pero se la vio de todas formas.",deterministic,general,en,v1_general_default_en,5,"She wanted to go out anyway. -> De todas formas, ella quería salir.",She said she didn't want to go. -> Dijo que no quería ir.,She said she didn't want to go. -> Dijo que no quería marcharse.,She decided not to go. -> Ella decidió no ir.,It is no wonder that she didn't want to go. -> No extraña que ella no quisiera ir.
general_v1_general_default_en.jsonl,How do you say 'flower' in Spanish?,This Bengal cat is a 'gato bengalés' in Spanish.,balanced,general,en,v1_general_default_en,5,Where is Flower? -> ¿Dónde está la calle Flower?,A flower. -> Una flor.,What do you call this flower? -> ¿Cómo se llama esta flor?,"How do you say ""cat"" in Spanish? -> ¿Cómo se dice ""cat"" en español?","How do you say ""cat"" in Spanish? -> ¿Cómo se dice «mačka» en español?"
general_v1_general_default_en.jsonl,Is this sentence correct: 'Yo fue al mercado'?,"To conjugate ""venir"" in the future tense, you add the ending ""-é"" to the third person singular and plural, and the ending ""-o"" to the first person singular. Here are the conjugations:
- Yo vendré (I will come)
- Tú vendrás (You will come)
- Él/Ella/Usted vendrá (He/She/You will come)
- Nosotros vendremos (We will come)
- Ellos/",balanced,general,en,v1_general_default_en,5,"Amar fue su pecado, is a Mexican telenovela that aired on Canal 4, Telesistema Mexicano in 1960. -> Amar fue su pecado es una telenovela mexicana que se transmitió por el Canal 4 de Telesistema Mexicano de Televisa en 1960.","This wasn't a Fuilcré, was it? -> Esto no será un Fulcré, ¿verdad?",I think this sentence is not in Spanish. -> Me parece que esta frase no está en español.,"Merci, thank you. -> - Merci, gracias.","José Eduardo, this is wrong. -> No, esto está mal."
general_v1_general_default_en.jsonl,What’s a good way to reply to '¿Qué tiempo hace hoy?' in Spanish?,"To reply to ""¿Qué tiempo hace hoy?"" (What's the weather like today?) in Spanish, you can say ""Hoy hace sol y una leve brisa"" (Today it's sunny with a light breeze) or ""Hoy llueve"" (Today it's raining). If you're not sure, you can say ""No sé, ¿y tú?"" (I don't know, and you?) or ""No sé, pero creo que va a llover"" (I don't know, but I think it's going to rain).",balanced,general,en,v1_general_default_en,5,La Cronica de Hoy (in Spanish). -> La Crónica de Hoy (México).,Say something in Spanish. -> - Di algo en español.,Primera Hora (in Spanish). -> Primera Hora (en inglés).,"Do you know how to say ""I'm sorry"" in Spanish? -> ¿Sabes cómo decir ""lo siento"" en español?",It has to be somewhere... Hola! Que pasa? -> Debe de estar en algún...
general_v1_general_default_en.jsonl,What does 'mesa' mean in Spanish?,"'Mesa' in Spanish means 'table' or'mesa' in the geographical sense, which refers to a flat-topped hill with steep sides, such as Mesa de las Vacas in Arizona.",balanced,general,en,v1_general_default_en,5,"In Navajo it is called Dziłíjiin ('Black Mountain') and during Mexican rule of Arizona it was called Mesa de las Vacas (Spanish for 'mesa of the cows'). -> En Navajo se denomina Dziłíjiin (""Mesa Negra"") y conocida por los mexicanos como Mesa de las Vacas en castellano.","Another possible interpretation is that it comes from the Latin Lacus vallensis, meaning ""lake in a valley"". -> Otra interpretación posible es la que hace provenir el nombre del latín Lacus vallensis, que significa ""lago en un valle"".","The specific name means ""gigantic"" in Latin. -> El nombre específico significa ""gigantesco"" en latín.","Guzmán, the Spanish variant. -> Emilio, desambiguación de la variante española.","Surround Vibes, it's Juan Camilo Mesa. -> Surround Vibes, Juan Camilo Mesa."
general_v1_general_default_en.jsonl,Translate this into Spanish: She didn't want to see the movie but she went anyway.,"Ella no quería ver la película, pero la vio de todas formas.",balanced,general,en,v1_general_default_en,5,"She wanted to go out anyway. -> De todas formas, ella quería salir.",She said she didn't want to go. -> Dijo que no quería ir.,She said she didn't want to go. -> Dijo que no quería marcharse.,She decided not to go. -> Ella decidió no ir.,It is no wonder that she didn't want to go. -> No extraña que ella no quisiera ir.
